계정항목,빵 및 곡물,쌀,현미,찹쌀,보리쌀,콩,땅콩,혼식곡,밀가루,국수,라면,당면,두부,시리얼,부침가루,케이크,빵,떡,파스타면,육류,국산쇠고기,수입쇠고기,돼지고기,닭고기,소시지,햄및베이컨,기타육류가공품,어류 및 수산,갈치,명태,조기,고등어,오징어,게,굴,조개,전복,새우,마른멸치,마른오징어,낙지,오징어채,북어채,어묵,맛살,수산물통조림,젓갈,"우유, 치즈 및 계란",우유,분유,치즈,발효유,달걀,식용유지,참기름,식용유,과일,사과,배,복숭아,포도,밤,감,귤,오렌지,참외,수박,딸기,바나나,키위,블루베리,망고,체리,아보카도,파인애플,아몬드,과일가공품,채소 및 해조,배추,상추,시금치,양배추,미나리,깻잎,부추,무,열무,당근,감자,고구마,도라지,콩나물,버섯,오이,풋고추,호박,가지,토마토,파,양파,마늘,브로콜리,고사리,파프리카,단무지,김,맛김,미역,"과자, 빙과류 및 당류",초콜릿,사탕,껌,아이스크림,비스킷,스낵과자,파이,설탕,잼,꿀,물엿,기타 식료품,고춧가루,참깨,생강,소금,간장,된장,양념소스,고추장,카레,식초,드레싱,혼합조미료,스프,이유식,김치,밑반찬,냉동식품,즉석식품,편의점도시락,삼각김밥,"커피, 차 및 코코아",커피,차,"생수, 청량음료, 과일주스 및 채소주스",주스,두유,생수,기능성음료,탄산음료,기타음료,주류,주류,소주,과실주,맥주,막걸리,양주,약주,음식 서비스,음식 서비스,김치찌개백반,된장찌개백반,비빔밥,설렁탕,갈비탕,삼계탕,해물찜,해장국,불고기,쇠고기(외식),돼지갈비(외식),삼겹살(외식),오리고기(외식),냉면,칼국수,죽(외식),생선초밥,생선회(외식),자장면,짬뽕,탕수육,볶음밥,돈가스,스테이크,스파게티,라면(외식),김밥,떡볶이,치킨,햄버거,피자,쌀국수,커피(외식),기타음료(외식),소주(외식),맥주(외식),막걸리(외식),구내식당식사비,도시락
2014-01-01,87.809,87.742,,86.922,107.76,83.926,87.28,112.772,100.345,110.846,95.282,94.966,96.572,100.773,98.894,77.596,79.978,86.44,,79.706,70.686,83.824,76.998,107.384,82.479,98.459,,81.441,91.476,76.156,106.783,87.494,46.024,66.749,84.159,80.69,137.321,,93.164,46.28,,70.078,82.719,83.609,95.073,91.258,70.692,94.987,94.822,102.053,95.806,90.663,100.753,97.997,83.457,113.676,96.298,96.852,87.88,129.654,97.782,78.863,88.592,74.654,104.724,93.517,127.947,140.673,73.306,98.739,,,,,,,92.661,75.425,46.711,62.941,50.884,44.202,79.912,84.417,72.169,44.793,60.892,57.825,77.416,59.165,93.3,89.547,118.327,102.072,87.809,101.806,90.92,93.306,68.515,82.431,81.908,74.204,96.407,,101.28,66.025,87.734,90.205,91.12,79.392,101.503,107.783,92.327,92.836,87.381,95.49,99.466,95.069,85.367,100.516,85.905,70.936,90.658,48.124,95.868,90.742,106.567,103.418,102.277,98.994,,97.11,67.781,81.808,95.377,82.347,82.918,94.156,88.637,,88.267,101.197,102.645,97.578,91.553,107.995,87.733,90.084,90.438,79.357,87.852,89.419,89.419,82.269,100.717,91.061,92.129,97.051,91.938,87.297,87.297,86.706,86.99,87.58,84.109,77.287,88.474,91.091,87.738,86.319,85.095,86.001,85.303,91.997,84.606,87.053,85.493,90.376,90.043,82.745,80.495,86.678,83.311,89.544,87.44,92.165,79.598,74.523,79.472,89.248,89.456,95.728,,91.729,98.269,77.564,87.851,92.498,81.815,
2014-02-01,88.665,87.728,,86.846,108.985,83.679,87.28,110.615,100.362,112.148,95.601,94.222,97.24,101.399,96.235,81.985,82.111,86.393,,79.853,70.404,86.123,76.829,104.945,87.51,97.923,,82.02,93.487,77.414,105.507,91.701,47.105,66.973,80.124,81.604,137.818,,93.097,47.962,,70.249,83.518,83.976,91.558,91.204,70.843,94.416,94.822,101.612,98.639,90.145,97.873,98.307,83.776,113.966,98.0,100.825,92.826,129.654,98.158,82.072,89.83,81.124,107.632,93.517,127.947,126.253,80.641,98.357,,,,,,,92.391,77.624,45.606,59.931,48.816,39.607,81.925,82.682,80.598,43.357,60.892,52.53,82.391,58.979,94.123,90.467,116.845,112.338,117.8,109.441,90.92,98.536,65.89,82.625,81.366,69.247,97.442,,102.898,66.278,88.548,91.147,93.973,92.728,104.547,107.856,93.885,100.549,86.727,99.029,99.514,94.484,84.926,101.229,86.057,70.557,91.427,50.01,95.515,90.935,106.236,103.04,101.028,98.146,,97.405,67.831,83.687,95.292,82.75,84.679,93.469,88.637,,88.45,101.483,102.972,97.938,91.694,106.838,87.717,90.109,90.438,80.808,88.368,89.648,89.648,82.354,103.603,91.121,92.093,97.043,91.904,87.564,87.564,87.231,87.174,87.892,84.169,77.404,88.474,91.108,87.926,86.502,85.429,86.155,85.461,92.022,84.817,87.069,85.493,90.392,90.287,82.895,80.85,86.723,83.536,89.519,87.496,92.224,80.0,74.55,79.571,89.298,90.142,99.119,,92.191,98.269,77.93,87.881,92.779,81.837,
2014-03-01,88.473,87.212,,86.959,110.481,82.455,87.494,108.909,102.137,110.611,94.565,95.595,97.119,99.736,102.964,81.999,82.143,86.37,,82.47,69.749,84.309,85.071,108.203,90.65,97.206,,82.339,95.944,77.329,105.648,93.431,47.053,66.749,79.589,80.477,132.148,,93.757,47.911,,71.089,84.525,84.271,95.01,91.401,70.981,94.218,94.815,102.006,97.238,90.501,96.638,99.312,84.278,115.527,96.65,98.401,92.826,129.654,97.289,82.072,91.98,85.836,105.744,93.517,127.947,99.745,86.125,101.179,,,,,,,91.882,75.271,40.07,58.219,39.52,35.079,70.709,75.413,80.268,44.075,60.892,50.587,90.204,60.356,93.784,90.385,112.024,101.602,116.233,106.297,90.92,98.894,61.708,75.542,79.092,68.497,98.626,,100.92,66.515,88.123,91.358,95.92,92.651,101.174,107.248,93.729,100.788,91.774,109.842,99.369,95.171,84.749,102.523,85.918,69.785,91.309,54.847,95.61,91.045,105.117,103.444,100.206,98.758,,96.257,68.014,83.4,95.377,82.641,84.699,93.991,88.541,,88.442,101.935,102.888,98.829,92.698,107.276,87.962,90.3,90.438,83.477,89.041,89.308,89.308,82.214,99.426,91.035,92.129,97.115,91.761,87.515,87.515,87.585,87.366,88.047,84.385,78.035,88.537,91.287,88.028,86.438,85.557,86.515,85.742,92.072,84.926,87.1,85.493,90.197,90.465,83.329,81.084,87.235,83.873,89.559,87.863,92.562,80.263,74.682,79.989,89.442,90.609,99.119,,92.226,98.287,78.079,88.226,92.951,82.146,
2014-04-01,88.547,87.205,,86.751,111.633,81.994,88.53,106.609,102.554,105.757,95.513,95.411,97.247,101.358,103.821,82.158,82.378,86.636,,83.105,69.97,85.05,87.406,111.678,83.392,95.847,,83.056,99.248,77.282,106.053,93.976,47.771,67.219,79.589,81.83,134.58,,95.192,47.34,,70.043,86.508,83.764,94.974,91.379,71.759,95.288,94.73,101.491,96.885,92.193,100.992,100.242,85.091,116.582,99.498,98.746,92.826,129.654,95.996,82.072,91.98,85.836,100.294,157.757,127.947,90.391,93.412,98.929,,,,,,,91.89,70.476,38.329,55.325,41.506,32.052,60.063,70.126,58.062,44.524,57.915,56.943,99.619,60.663,93.7,90.13,111.65,79.14,85.142,80.763,90.92,89.483,53.643,70.453,78.411,76.037,98.22,,99.773,66.553,88.328,91.481,96.177,92.689,105.355,105.767,94.737,98.639,92.759,111.202,99.498,93.501,84.834,99.075,85.53,68.664,89.417,65.481,95.754,90.909,104.23,103.813,99.96,100.145,,96.298,68.169,88.138,95.358,80.814,85.094,94.346,86.159,,88.177,101.169,101.48,99.494,92.518,105.85,88.184,90.252,90.472,84.276,88.787,89.256,89.256,82.191,99.298,91.01,91.836,97.142,91.921,87.637,87.637,87.786,87.619,88.149,84.333,78.144,88.697,91.271,88.028,86.494,85.636,86.676,86.023,92.258,85.137,87.13,85.493,90.418,90.465,83.0,81.283,87.333,84.001,89.777,88.079,92.613,80.422,74.795,80.151,89.509,90.609,99.119,,92.38,98.287,78.095,88.172,92.951,82.641,
2014-05-01,88.48,86.641,,86.286,112.417,80.851,87.369,108.969,102.393,109.613,95.628,95.496,97.292,97.96,104.756,82.114,82.463,86.902,,84.073,70.678,84.399,88.91,111.739,88.303,96.249,,83.114,95.801,77.934,105.885,96.802,46.61,67.205,79.589,82.355,133.975,,95.142,47.745,,70.529,87.087,83.616,95.418,91.235,73.377,95.367,94.714,102.099,98.951,92.493,100.522,99.777,84.716,116.043,98.524,98.746,92.826,129.654,95.389,82.072,91.98,85.836,107.543,133.908,121.124,91.526,95.501,111.677,,,,,,,91.91,68.967,39.277,53.965,49.317,34.687,57.24,71.577,52.737,51.203,53.129,71.729,95.295,67.907,93.451,89.585,107.452,60.34,76.91,60.857,96.591,78.432,52.671,68.504,78.253,85.014,99.097,,103.045,68.146,88.417,91.861,96.72,92.822,105.279,106.125,96.642,99.526,91.994,112.174,99.289,94.789,85.868,98.745,86.109,68.725,89.468,67.529,96.262,90.851,103.359,104.381,99.832,100.226,,95.633,70.656,86.382,94.521,83.662,85.266,94.718,88.596,,88.177,102.192,102.879,99.845,92.918,106.576,88.184,90.284,90.472,84.632,89.474,89.325,89.325,82.323,100.44,90.888,92.02,97.069,92.014,87.758,87.758,87.847,87.627,88.234,84.78,78.336,88.84,91.312,88.012,86.565,85.604,86.867,86.225,92.443,85.507,87.152,85.493,90.648,90.405,83.194,81.283,87.656,84.001,89.777,88.079,92.478,80.782,74.854,80.151,89.772,90.609,99.119,,92.541,98.335,78.266,88.461,92.951,82.613,
2014-06-01,88.267,86.6,,85.935,111.135,80.925,87.464,110.506,102.265,107.48,94.786,95.519,97.292,99.449,102.808,82.194,82.143,86.94,,86.969,71.63,84.593,95.398,106.666,92.524,100.105,,83.056,92.467,78.455,106.484,96.664,47.452,67.219,79.589,81.166,131.354,,95.66,47.058,,72.209,87.945,83.757,95.427,91.326,73.735,96.12,94.799,114.033,98.941,92.452,100.104,97.915,85.872,110.761,93.016,98.746,92.826,129.654,96.942,82.072,91.98,85.836,107.543,92.367,79.936,91.526,93.863,116.377,,,,,,,93.461,66.046,41.875,48.915,48.217,34.836,50.706,63.871,42.196,53.017,51.679,69.245,69.337,72.925,93.602,89.966,112.998,58.37,70.413,58.171,79.795,59.878,57.142,62.462,77.665,70.485,99.014,,102.102,68.994,88.784,92.306,96.66,92.37,104.905,105.967,96.774,99.216,92.384,112.32,97.906,94.078,85.065,98.392,86.063,68.159,89.333,68.276,95.544,90.955,103.417,103.521,101.876,94.807,,95.847,71.672,86.31,95.095,85.59,85.31,94.139,88.074,,88.442,101.944,102.431,100.016,93.2,107.77,88.223,90.229,90.472,85.094,88.129,89.214,89.214,81.98,99.298,90.992,92.35,96.819,92.074,87.831,87.831,87.847,87.727,88.172,84.891,78.371,89.263,91.385,88.012,86.557,85.628,87.021,86.347,92.781,85.624,87.152,85.493,90.861,90.246,82.895,81.283,87.656,84.061,89.721,88.111,92.266,81.177,75.468,80.809,89.772,90.609,99.119,,92.541,98.335,78.266,88.734,92.951,82.613,
2014-07-01,87.934,86.365,,85.072,108.033,80.798,87.2,108.528,101.925,102.635,95.611,95.58,97.525,95.865,96.764,82.259,82.345,86.987,,88.61,72.14,85.68,97.386,102.034,94.463,107.689,,82.418,87.56,78.379,107.294,95.811,45.346,67.542,79.589,80.865,130.105,,95.359,47.51,,71.016,87.39,83.835,95.191,91.349,74.255,95.977,94.753,113.987,98.135,92.509,99.572,98.326,84.883,112.767,91.796,98.746,92.826,127.57,97.348,82.072,91.98,85.836,107.543,82.71,75.711,91.526,91.337,114.68,,,,,,,91.985,67.174,60.344,56.311,61.722,39.789,50.693,61.546,41.427,53.337,62.308,70.234,55.907,83.603,94.108,89.697,113.569,52.791,65.703,46.321,57.27,50.759,57.846,55.873,78.88,73.424,99.618,,104.167,69.047,88.615,92.646,97.483,92.463,104.974,105.862,98.208,100.621,93.053,112.272,98.553,94.414,83.915,100.223,86.221,68.765,89.147,68.22,96.166,91.089,103.973,104.011,102.124,93.2,,95.872,72.25,86.231,95.471,86.068,84.998,94.056,87.882,,88.442,101.888,102.45,99.782,93.286,107.239,88.358,90.3,90.516,85.075,89.683,89.223,89.223,82.026,99.042,90.957,92.698,96.819,91.744,87.993,87.993,88.195,88.071,88.0,84.825,78.693,89.718,91.385,88.122,86.899,85.596,87.519,86.679,93.024,85.785,87.152,85.493,90.861,90.305,83.494,81.503,87.777,84.129,89.769,88.079,92.334,81.205,75.475,80.895,89.772,90.609,99.119,,93.123,98.287,78.819,88.609,93.285,82.641,
2014-08-01,88.119,86.042,,85.604,107.968,80.932,87.053,110.073,102.078,102.557,95.787,95.534,97.368,102.395,99.457,82.338,82.411,86.925,,87.619,72.879,86.899,92.286,104.012,96.867,108.879,,82.353,92.444,78.88,105.868,91.433,45.713,67.885,79.589,81.341,130.172,,94.95,47.693,,70.176,87.658,84.307,94.892,91.409,73.86,96.151,94.714,114.024,99.033,92.655,100.251,99.576,85.832,114.338,89.857,98.746,92.826,99.04,92.109,82.072,91.98,85.836,107.543,80.846,79.104,91.526,88.79,114.651,,,,,,,94.795,75.377,80.176,86.664,107.124,39.735,60.311,74.479,51.19,57.723,76.194,81.674,56.867,80.072,93.927,89.958,115.85,75.761,67.513,66.016,60.627,51.733,65.666,55.798,82.0,92.508,99.743,,104.278,69.253,87.47,92.276,96.547,92.346,105.157,105.915,96.921,100.556,90.672,112.677,98.965,94.117,83.545,98.517,86.472,70.345,89.476,84.606,96.071,91.095,104.353,103.693,102.231,92.629,,95.716,72.466,85.852,95.602,82.988,85.209,93.89,86.9,,88.45,101.861,102.403,99.754,93.224,107.155,88.302,90.101,90.629,85.069,89.564,89.682,89.682,82.011,102.756,91.431,92.763,96.828,91.431,88.09,88.09,87.847,87.865,88.0,85.1,79.022,89.758,91.385,88.239,87.019,85.557,87.71,86.952,93.564,85.879,87.206,85.493,90.955,90.271,83.494,81.596,87.777,84.129,89.544,88.095,92.106,81.953,75.753,81.191,89.856,90.609,99.119,,93.611,99.004,78.901,89.196,93.285,82.641,
2014-09-01,88.296,85.988,,85.992,106.834,79.923,87.655,108.943,100.872,108.625,95.814,94.069,97.487,106.809,97.335,82.388,82.496,87.128,,87.906,74.554,87.418,93.167,98.456,97.971,105.275,,82.295,94.515,79.306,104.874,90.8,45.513,66.734,79.589,81.122,132.685,,94.808,47.813,,69.856,87.667,84.307,93.705,91.401,74.243,96.001,94.707,114.033,99.204,92.704,99.417,98.171,84.182,113.232,88.449,97.863,89.794,98.744,80.03,83.121,91.98,85.836,107.543,80.846,79.104,91.526,90.108,115.643,,,,,,,94.51,79.142,82.359,90.87,92.89,37.714,74.915,88.625,54.022,59.249,66.902,104.191,59.662,72.564,92.974,90.393,129.191,65.819,87.785,69.976,62.907,66.065,69.891,56.855,84.283,99.027,98.095,,104.184,69.085,89.048,92.159,97.196,92.33,104.288,106.66,97.96,99.425,93.199,113.009,98.545,91.011,83.313,100.229,88.172,73.975,90.844,96.602,96.34,91.018,106.145,99.266,102.264,94.497,,96.019,72.527,86.181,95.639,86.394,86.784,94.404,88.486,,88.359,102.146,102.729,99.979,92.73,103.947,88.35,90.324,90.655,85.729,91.006,89.682,89.682,82.191,102.687,91.405,92.927,95.895,91.194,88.333,88.333,88.265,88.209,88.429,85.286,79.604,89.83,91.629,88.262,86.971,85.811,87.806,86.959,93.724,86.293,87.206,85.493,90.955,90.532,83.68,81.844,87.792,84.316,89.808,88.75,92.292,82.091,75.753,81.269,89.856,91.605,99.119,,95.031,99.004,79.566,89.385,93.285,82.778,
2014-10-01,88.665,87.026,,86.941,105.313,79.295,85.702,108.46,101.136,110.455,95.327,95.143,97.404,107.107,101.509,82.396,82.463,87.323,,85.126,74.044,87.557,85.842,105.354,97.772,100.856,,83.136,97.471,79.921,105.278,93.862,45.617,66.313,86.91,80.971,135.412,,93.373,47.762,,71.207,87.835,84.673,94.992,91.251,74.368,95.628,94.73,113.312,99.194,92.007,98.376,98.626,86.653,111.403,86.411,94.717,73.888,98.744,81.361,69.93,85.433,85.745,107.543,80.846,79.104,91.526,89.504,112.677,,,,,,,94.768,70.225,55.305,60.455,62.46,34.978,70.629,73.717,55.729,54.693,69.835,96.953,58.945,66.096,93.934,90.647,119.384,56.677,67.699,53.973,60.41,74.369,60.812,56.293,84.91,76.965,99.627,,103.532,68.61,85.987,92.259,97.679,93.868,102.258,106.439,98.099,101.609,93.089,112.977,98.529,87.833,84.841,101.604,87.935,74.939,93.259,69.023,96.586,91.045,98.6,102.953,101.054,98.17,,96.199,72.599,85.084,95.639,88.044,87.001,94.056,88.074,,88.16,103.132,104.045,100.43,93.129,105.383,88.365,90.269,90.655,85.69,91.035,89.724,89.724,82.081,102.569,91.466,92.891,96.836,91.845,88.398,88.398,88.265,88.209,88.507,85.264,80.036,89.925,91.711,88.262,87.09,85.866,87.703,87.074,93.69,86.293,87.26,85.493,90.972,90.616,83.904,81.908,87.792,84.383,90.026,88.854,92.57,82.091,76.143,81.269,89.856,91.605,99.119,,94.816,98.966,79.439,89.415,93.285,83.015,
